title,address,price,size,rooms,floor,url,date,provider
,"Berliner Str. 45, 13189 Berlin","950,00",58.0,2.0,3,https://www.immobilienscout24.de/expose/100036,2026-07-09,immobilienscout24
"Große Wohnung in Neukölln","Sonnenallee 80, 12045 Berlin",1200.00,"92,0",3.5,1,https://www.immowelt.de/expose/100037,2026-07-08,immowelt
,"Seestraße 15, 13347 Berlin",680.00,44.0,1.5,,https://www.immobilienscout24.de/expose/100038,2026-07-07,immobilienscout24
"Ruhige Wohnung","Eisenacher Str. 100, 12099 Berlin","780,00",47.0,1.5,0,https://www.kleinanzeigen.de/s-anzeige/100039,2026-07-06,kleinanzeigen
"Helles 3-Zimmer","Berliner Str. 120, 13187 Berlin","1.450,00","85,0",3.0,4,https://www.immobilienscout24.de/expose/100040,2026-07-10,immobilienscout24
,"Weichselstraße 5, 12045 Berlin",820.00,50.0,2.0,1,https://www.immowelt.de/expose/100041,2026-07-09,immowelt
"2-Zimmer nahe Leopoldplatz","Badstraße 55, 13357 Berlin","1.050,00",62.0,2.0,2,https://www.immobilienscout24.de/expose/100042,2026-07-08,immobilienscout24
"1-Zimmer Apartment","Grunewaldstraße 10, 10823 Berlin",780.00,"45,5",1.0,3,https://www.immowelt.de/expose/100043,2026-07-07,immowelt
"Günstige 1-Zimmer","Pankower Allee 80, 13408 Berlin","700,00",38.0,1.0,,https://www.immobilienscout24.de/expose/100044,2026-07-10,immobilienscout24
"Großzügige 4-Zimmer","Hermannstr. 55, 12051 Berlin","1.650,00","100,0",4.0,0,https://www.immowelt.de/expose/100045,2026-07-09,immowelt
,"Tempelhofer Damm 12, 12101 Berlin","620,50",36.0,1.0,,https://www.kleinanzeigen.de/s-anzeige/100046,2026-07-08,kleinanzeigen
"Frisch saniert","Amsterdamer Str. 10, 13347 Berlin",890.00,54.0,2.0,1,https://www.immobilienscout24.de/expose/100047,2026-07-07,immobilienscout24
"Familienwohnung","Florastraße 20, 13187 Berlin",1100.00,"68,0",3.0,2,https://www.immowelt.de/expose/100048,2026-07-10,immowelt
,"Braunschweiger Str. 8, 12055 Berlin","900,00","55,5",2.0,,https://www.immobilienscout24.de/expose/100049,2026-07-09,immobilienscout24
"Luxus-Wohnung am Ku'damm","Kurfürstendamm 180, 10707 Berlin","2.400,00","115,0",4.0,6,https://www.immobilienscout24.de/expose/100050,2026-07-08,immobilienscout24
